date,EPS_10YR,EPS_10YR_pred
9/1/2003,0.487753308,0.442806004
10/1/2003,0.430804752,0.409077565
11/1/2003,0.373856197,0.184204108
12/1/2003,0.316907641,0.045256938
1/1/2004,0.259959085,0.108911361
2/1/2004,0.253040438,0.102772602
3/1/2004,0.255540438,0.077407998
4/1/2004,0.323598228,0.090319436
5/1/2004,0.308751844,0.096163917
6/1/2004,0.308651844,0.177651499
7/1/2004,0.072489057,0.041609378
8/1/2004,0.077349216,0.133407431
9/1/2004,0.077518412,0.23705632
10/1/2004,0.018145235,0.227437336
11/1/2004,0.014718197,0.158114582
12/1/2004,0.011796687,0.106152462
1/1/2005,0.075289057,0.181520222
2/1/2005,0.077118412,0.188469268
3/1/2005,0.076481471,0.066602967
4/1/2005,0.173594444,0.117542303
5/1/2005,0.178470932,0.103768213
6/1/2005,0.17843191,0.086421263
7/1/2005,0.17663191,0.187447326
8/1/2005,0.17583191,0.158964092
9/1/2005,0.17643191,0.148310919
10/1/2005,0.170958534,0.054242155
11/1/2005,0.175911511,0.034145843
12/1/2005,0.17373191,0.007585306
1/1/2006,0.126221183,0.02785002
2/1/2006,0.128886585,-0.001503912
3/1/2006,0.12599661,-0.014252752
4/1/2006,0.053061409,-0.033851362
5/1/2006,0.053174914,-0.084534859
6/1/2006,0.054489853,-0.134530314
7/1/2006,0.193673896,-0.047301564
8/1/2006,0.185547081,-0.059211756
9/1/2006,0.187147081,0.146047568
10/1/2006,0.110706087,0.129722359
11/1/2006,0.116130974,0.093414585
12/1/2006,0.105561088,0.052461365
1/1/2007,0.034539158,0.128991493
2/1/2007,0.040110662,0.121829141
3/1/2007,0.036539158,0.11735589
4/1/2007,0.040410662,0.049360847
5/1/2007,0.041107073,0.019173871
6/1/2007,0.037607073,-0.002187547
7/1/2007,-0.309272121,0.008284965
8/1/2007,-0.31232669,0.021240746
9/1/2007,-0.319817986,0.019822604
10/1/2007,-0.522421765,0.044454667
11/1/2007,-0.537508111,0.033878388
12/1/2007,-0.557737583,0.023379782
1/1/2008,-0.337525201,0.074882406
2/1/2008,-0.343557639,0.073836989
3/1/2008,-0.350640949,-0.332623069
4/1/2008,-0.49370334,-0.407183199
5/1/2008,-0.516583671,-0.419731877
6/1/2008,-0.534440823,-0.408977256
7/1/2008,-0.389599646,-0.274633189
8/1/2008,-0.397243929,-0.268680434
9/1/2008,-0.40712672,-0.201312412
10/1/2008,-0.991585953,-0.229222874
11/1/2008,-1.019138196,-0.220476222
12/1/2008,-1.022435224,-0.159230659
1/1/2009,-0.932237494,-0.062604065
2/1/2009,-0.977199386,-0.041871808
3/1/2009,-1.00895271,-0.031437381
4/1/2009,0.423266425,-0.009015046
5/1/2009,0.402859364,-0.017215272
6/1/2009,0.38358562,-0.057298715
7/1/2009,0.390394922,0.031696049
8/1/2009,0.397204224,0.070008492
9/1/2009,0.404013526,0.414060944
10/1/2009,0.410822828,0.429353275
11/1/2009,0.41763213,0.422700338
12/1/2009,0.424441432,0.334690564
1/1/2010,0.431250734,0.3979707
2/1/2010,0.438060036,0.348549175
3/1/2010,0.444869338,0.244164665
4/1/2010,0.45167864,0.13142987
5/1/2010,0.433646778,0.102232911
6/1/2010,0.41887764,0.13350645
7/1/2010,0.299127996,0.161407914
8/1/2010,0.28981989,0.186947481
9/1/2010,0.284155735,0.195489084
10/1/2010,0.321064173,0.222184709
11/1/2010,0.311004308,0.197029794
12/1/2010,0.305704308,0.181291858
1/1/2011,0.19463783,0.272756667
2/1/2011,0.178324176,0.250429547
3/1/2011,0.19009735,0.166289418
4/1/2011,0.09222503,0.157670008
5/1/2011,0.10453245,0.155512116
6/1/2011,0.098164561,0.149607365
7/1/2011,0.128006087,0.208386018
8/1/2011,0.137754518,0.209145956
9/1/2011,0.128633488,0.196465564
