DATE,NEWORDER
2007-10-01,64974
2007-11-01,65466
2007-12-01,68096
2008-01-01,68408
2008-02-01,66568
2008-03-01,66526
2008-04-01,69373
2008-05-01,68443
2008-06-01,67754
2008-07-01,67856
2008-08-01,66142
2008-09-01,63854
2008-10-01,59330
2008-11-01,60759
2008-12-01,55512
2009-01-01,49530
2009-02-01,50163
2009-03-01,49254
2009-04-01,47096
2009-05-01,48652
2009-06-01,50533
2009-07-01,50984
2009-08-01,49900
2009-09-01,53034
2009-10-01,51978
2009-11-01,52771
2009-12-01,54616
2010-01-01,52331
2010-02-01,53488.0
2010-03-01,56487
2010-04-01,52283
2010-05-01,57262
2010-06-01,59605
2010-07-01,56474
2010-08-01,58224
2010-09-01,60134
2010-10-01,57479
2010-11-01,60405
2010-12-01,61939
2011-01-01,60963
2011-02-01,59078
2011-03-01,62497
2011-04-01,61562
2011-05-01,63711
2011-06-01,63751
2011-07-01,64756
2011-08-01,64464
2011-09-01,65581
2011-10-01,67427
2011-11-01,64660
2011-12-01,68881
2012-01-01,67525
2012-02-01,70075
2012-03-01,69719
2012-04-01,67645
2012-05-01,69182
2012-06-01,66971
2012-07-01,65070
2012-08-01,63645
2012-09-01,63932
2012-10-01,66051
2012-11-01,66204
2012-12-01,66840
2013-01-01,69879
2013-02-01,66361
2013-03-01,66318
2013-04-01,67762
2013-05-01,69035
2013-06-01,69343
2013-07-01,66316
2013-08-01,65933
2013-09-01,66371
2013-10-01,65016
2013-11-01,68053
2013-12-01,67775
2014-01-01,68237
2014-02-01,67386
2014-03-01,68683
2014-04-01,66486
2014-05-01,65819
2014-06-01,69618
2014-07-01,67842
2014-08-01,68514
2014-09-01,69207
2014-10-01,65557
2014-11-01,63687
2014-12-01,66300
2015-01-01,64791
2015-02-01,64232
2015-03-01,64712
2015-04-01,64365
2015-05-01,62596
2015-06-01,63739
2015-07-01,63551
2015-08-01,63525
2015-09-01,63188
2015-10-01,62996
2015-11-01,61848
2015-12-01,60613
2016-01-01,61637
2016-02-01,61150
2016-03-01,60583
2016-04-01,60924
2016-05-01,59566
2016-06-01,59608
2016-07-01,59809
2016-08-01,61691
2016-09-01,59308
2016-10-01,59351
2016-11-01,59244
2016-12-01,59539
2017-01-01,60419
2017-02-01,60740
2017-03-01,61013
2017-04-01,61308
2017-05-01,61404
2017-06-01,60378
2017-07-01,61535
2017-08-01,61552
2017-09-01,64088
2017-10-01,63703
2017-11-01,63645
2017-12-01,63795
2018-01-01,63324
2018-02-01,64087
2018-03-01,63553
2018-04-01,64909
2018-05-01,66231
2018-06-01,67247
2018-07-01,68749
2018-08-01,66798
2018-09-01,66399
2018-10-01,67104
2018-11-01,64292
2018-12-01,64894
2019-01-01,65841
2019-02-01,65221
2019-03-01,66457
2019-04-01,65737
2019-05-01,65271
2019-06-01,66139
2019-07-01,65823
2019-08-01,65593
2019-09-01,65187
2019-10-01,65642
2019-11-01,65189
2019-12-01,65045
2020-01-01,65765
2020-02-01,64885
2020-03-01,64103
2020-04-01,59872
2020-05-01,61297
2020-06-01,64300
2020-07-01,66189
2020-08-01,67791
2020-09-01,68646
2020-10-01,69626
2020-11-01,70563
2020-12-01,71619
2021-01-01,72386
2021-02-01,72150
2021-03-01,73304
2021-04-01,75001
