DATE,DGORDER
2003-05-01,171542.0
2003-06-01,173507.0
2003-07-01,173320.0
2003-08-01,173044.0
2003-09-01,178690.0
2003-10-01,183704.0
2003-11-01,181685.0
2003-12-01,181513.0
2004-01-01,178696.0
2004-02-01,181662.0
2004-03-01,190869.0
2004-04-01,184368.0
2004-05-01,183459.0
2004-06-01,185640.0
2004-07-01,186835.0
2004-08-01,183728.0
2004-09-01,188444.0
2004-10-01,185187.0
2004-11-01,192545.0
2004-12-01,193578.0
2005-01-01,194875.0
2005-02-01,196475.0
2005-03-01,186608.0
2005-04-01,194847.0
2005-05-01,206623.0
2005-06-01,210020.0
2005-07-01,194475.0
2005-08-01,204839.0
2005-09-01,203997.0
2005-10-01,209901.0
2005-11-01,220733.0
2005-12-01,221499.0
2006-01-01,209540.0
2006-02-01,219738.0
2006-03-01,227188.0
2006-04-01,214625.0
2006-05-01,215819.0
2006-06-01,221220.0
2006-07-01,209494.0
2006-08-01,210473.0
2006-09-01,234701.0
2006-10-01,216952.0
2006-11-01,224809.0
2006-12-01,229243.0
2007-01-01,222969
2007-02-01,220962
2007-03-01,229526
2007-04-01,233420
2007-05-01,228836
2007-06-01,228868
2007-07-01,233176
2007-08-01,235758
2007-09-01,226473
2007-10-01,230700
2007-11-01,227005
2007-12-01,244443
2008-01-01,239389
2008-02-01,235037
2008-03-01,234868
2008-04-01,231086
2008-05-01,227370
2008-06-01,229262
2008-07-01,220411
2008-08-01,214106
2008-09-01,215245
2008-10-01,191912
2008-11-01,181552
2008-12-01,173849
2009-01-01,151085
2009-02-01,148834
2009-03-01,146323
2009-04-01,147467
2009-05-01,149255
2009-06-01,147033
2009-07-01,153691
2009-08-01,157489
2009-09-01,158041
2009-10-01,161097
2009-11-01,160419
2009-12-01,160520
2010-01-01,181016
2010-02-01,180450
2010-03-01,182148
2010-04-01,182948
2010-05-01,189932
2010-06-01,185667
2010-07-01,187506
2010-08-01,191745
2010-09-01,201932
2010-10-01,193066
2010-11-01,197202
2010-12-01,193452
2011-01-01,203636
2011-02-01,196393
2011-03-01,212748
2011-04-01,200733
2011-05-01,207170
2011-06-01,201579
2011-07-01,206458
2011-08-01,216705
2011-09-01,204738
2011-10-01,210799
2011-11-01,215531
2011-12-01,223835
2012-01-01,224511
2012-02-01,228429
2012-03-01,219730
2012-04-01,218628
2012-05-01,220876
2012-06-01,216371
2012-07-01,224075
2012-08-01,203054
2012-09-01,217120
2012-10-01,219108
2012-11-01,214023
2012-12-01,232755
2013-01-01,222788
2013-02-01,232287
2013-03-01,217277
2013-04-01,228027
2013-05-01,235376
2013-06-01,247260
2013-07-01,222937
2013-08-01,222338
2013-09-01,238930
2013-10-01,234100
2013-11-01,242088
2013-12-01,236898
2014-01-01,226704
2014-02-01,230482
2014-03-01,235368
2014-04-01,235724
2014-05-01,229731
2014-06-01,239998
2014-07-01,304221
2014-08-01,235113
2014-09-01,240539
2014-10-01,231947
2014-11-01,230290
2014-12-01,224972
2015-01-01,220466
2015-02-01,217296
2015-03-01,228382
2015-04-01,226519
2015-05-01,214062
2015-06-01,235097
2015-07-01,228622
2015-08-01,224197
2015-09-01,218491
2015-10-01,222726
2015-11-01,227716
2015-12-01,220278
2016-01-01,224156
2016-02-01,218510
2016-03-01,216188
2016-04-01,224898
2016-05-01,220908
2016-06-01,212990
2016-07-01,213900
2016-08-01,223174
2016-09-01,212753
2016-10-01,238366
2016-11-01,219809
2016-12-01,216401
2017-01-01,217696
2017-02-01,214977
2017-03-01,221815
2017-04-01,223165
2017-05-01,220833
2017-06-01,238958
2017-07-01,221452
2017-08-01,222781
2017-09-01,233526
2017-10-01,229683
2017-11-01,236897
2017-12-01,235042
2018-01-01,225375
2018-02-01,230367
2018-03-01,239125
2018-04-01,239831
2018-05-01,241088
2018-06-01,241378
2018-07-01,233787
2018-08-01,248174
2018-09-01,244959
2018-10-01,239485
2018-11-01,229415
2018-12-01,242371
2019-01-01,252305
2019-02-01,243241
2019-03-01,255924
2019-04-01,252673
2019-05-01,239844
2019-06-01,244727
2019-07-01,249748
2019-08-01,245614
2019-09-01,245317
2019-10-01,250673
2019-11-01,234167
2019-12-01,240343
2020-01-01,228878
2020-02-01,230901
2020-03-01,183017
2020-04-01,161833
2020-05-01,178963
2020-06-01,199226
2020-07-01,218748
2020-08-01,223062
2020-09-01,226664
2020-10-01,228836
2020-11-01,233838
2020-12-01,237428
2021-01-01,243160
2021-02-01,246261
2021-03-01,249365
2021-04-01,246156
